name,description,shortDescription,sku,stock,category,subcategory,subsubcategory,status,featured,newArrival,todaysSpecial,delivery_type,brand,air_purifying,pet_friendly,seoTitle,seoDescription,seoKeywords,slug,mainImage,galleryImages,imagePersonalization,textPersonalization,features,badges,price,discounted_price,variants
Type 1,Type 1 description,Short for Type 1,type-1-001,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-1,12-fresh-roses-elegant-wrapping-ribbon-decoration-care-instructions.png,[10-g1.png,10-g2.png,25th-anniversary-cakes-g1.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 1 (copy auto1),Type 1 description,Short for Type 1,type-1-auto1,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-auto1,20.png,[25th-anniversary-cakes-g2.png,almonds-g1.png,almonds-g2.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 1 (copy auto2),Type 1 description,Short for Type 1,type-1-auto2,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-auto2,25th-anniversary-cakes.png,[anniversary-balloons-g1.png,anniversary-balloons-g2.png,anniversary-cakes-g1.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 1 (copy auto3),Type 1 description,Short for Type 1,type-1-auto3,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-auto3,3-tier-design-fondant-decoration-edible-gold-details-custom-message-free-delivery.png,[anniversary-cakes-g2.png,anniversary-chocolates-g1.png,anniversary-chocolates-g2.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 1 (copy auto4),Type 1 description,Short for Type 1,type-1-auto4,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-auto4,almonds.png,[anniversary-dry-fruits-g1.png,anniversary-dry-fruits-g2.png,anniversary-flowers-g1.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 1 (copy auto5),Type 1 description,Short for Type 1,type-1-auto5,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-auto5,anniversary-balloons.png,[anniversary-flowers-g2.png,anniversary-gifts-g1.png,anniversary-gifts-g2.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 1 (copy auto6),Type 1 description,Short for Type 1,type-1-auto6,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-auto6,anniversary-cakes.png,[anniversary-plants-g1.png,anniversary-plants-g2.png,anniversary-sweets-g1.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 1 (copy auto7),Type 1 description,Short for Type 1,type-1-auto7,100,Cakes,Cakes BYTYPE,Type 1,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-auto7,anniversary-chocolates.png,[anniversary-sweets-g2.png,balloons-and-chocolates-g1.png,balloons-and-chocolates-g2.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 2,Type 2 description,Short for Type 2,type-2-002,100,Cakes,Cakes BYTYPE,Type 2,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 2 SEO Title,Type 2 SEO Desc,Type 2 keywords,type-2,anniversary-dry-fruits.png,[balloons-and-flowers-g1.png,balloons-and-flowers-g2.png,barbie-doll-cakes-g1.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 2 (copy auto8),Type 2 description,Short for Type 2,type-2-auto8,100,Cakes,Cakes BYTYPE,Type 2,active,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 2 SEO Title,Type 2 SEO Desc,Type 2 keywords,type-auto8,anniversary-flowers.png,[barbie-doll-cakes-g2.png,besan-ladoo-g1.png,besan-ladoo-g2.png],TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
